ORD-100001,02-01-2019,David Wilson,Technology,Binders,North,869.37,-208.52
ORD-100003,04-01-2019,David Wilson,Technology,Accessories,West,4950.65,736.18
ORD-100004,05-01-2019,David Wilson,Technology,Tables,East,3891.18,-365.15
ORD-100005,06-01-2019,Emily Davis,Technology,Tables,North,1486.73,429.45
ORD-100008,09-01-2019,Michael Brown,Technology,Phones,West,692.11,-461.75
ORD-100009,10-01-2019,David Wilson,Technology,Storage,South,2761.14,1471.04
ORD-100012,13-01-2019,Linda Miller,Technology,Chairs,South,3404.26,151.29
ORD-100015,16-01-2019,Sarah Johnson,Technology,Binders,West,3410.76,185.08
ORD-100034,04-02-2019,Linda Miller,Technology,Binders,North,679.85,-391.23
ORD-100035,05-02-2019,Linda Miller,Technology,Binders,West,380.12,31.55
ORD-100038,08-02-2019,Sarah Johnson,Technology,Binders,North,2715.06,709.42
ORD-100040,10-02-2019,John Smith,Technology,Storage,North,4201.99,1368.75
ORD-100041,11-02-2019,Michael Brown,Technology,Storage,North,4035.51,-18.9
ORD-100044,14-02-2019,David Wilson,Technology,Phones,South,3277.98,-346.52
ORD-100045,15-02-2019,John Smith,Technology,Chairs,North,1885.04,719.12
ORD-100049,19-02-2019,Sarah Johnson,Technology,Storage,East,1015.22,-154.49
ORD-100051,21-02-2019,Emily Davis,Technology,Chairs,West,1613.55,-219.95
ORD-100053,23-02-2019,John Smith,Technology,Chairs,North,796.87,-349.48
ORD-100056,26-02-2019,Emily Davis,Technology,Tables,West,2168.89,1382.44
ORD-100059,01-03-2019,Sarah Johnson,Technology,Accessories,South,2132.29,1365.23
ORD-100061,03-03-2019,David Wilson,Technology,Phones,North,282.15,622.41
ORD-100065,07-03-2019,Sarah Johnson,Technology,Chairs,East,90.69,-129.65
ORD-100068,10-03-2019,Emily Davis,Technology,Accessories,East,16.01,1307.95
ORD-100069,11-03-2019,Linda Miller,Technology,Accessories,West,3084.33,1267.84
ORD-100074,16-03-2019,Linda Miller,Technology,Chairs,South,1573.89,1312.53
ORD-100075,17-03-2019,David Wilson,Technology,Phones,East,755.67,1361.41
ORD-100079,21-03-2019,Emily Davis,Technology,Tables,East,1283.6,1396.73
ORD-100080,22-03-2019,Emily Davis,Technology,Storage,South,455.36,222.5
ORD-100088,30-03-2019,David Wilson,Technology,Chairs,West,3402.57,488.2
ORD-100097,08-04-2019,David Wilson,Technology,Accessories,North,3417.99,210.47
ORD-100100,11-04-2019,David Wilson,Technology,Chairs,South,2934.22,1420.38
ORD-100106,17-04-2019,Michael Brown,Technology,Binders,South,3897.73,704.1
ORD-100107,18-04-2019,Michael Brown,Technology,Storage,West,3626.7,822.95
ORD-100109,20-04-2019,Michael Brown,Technology,Binders,West,2911.73,1067.92
ORD-100110,21-04-2019,Michael Brown,Technology,Chairs,North,659.64,1061.83
ORD-100113,24-04-2019,David Wilson,Technology,Chairs,South,557.52,662.57
ORD-100119,30-04-2019,Sarah Johnson,Technology,Accessories,West,1945.35,-365.68
ORD-100126,07-05-2019,Linda Miller,Technology,Binders,South,1325.23,30.65
ORD-100127,08-05-2019,Michael Brown,Technology,Phones,South,1050.55,804.64
ORD-100128,09-05-2019,Michael Brown,Technology,Tables,South,3827.67,618.02
ORD-100129,10-05-2019,John Smith,Technology,Chairs,North,4740.11,224.82
ORD-100133,14-05-2019,Michael Brown,Technology,Phones,South,1944.42,-41.36
ORD-100134,15-05-2019,John Smith,Technology,Storage,East,2134.55,-182.32
ORD-100137,18-05-2019,Linda Miller,Technology,Storage,South,3480.42,-134.72
ORD-100141,22-05-2019,Emily Davis,Technology,Phones,South,1394.11,154.51
ORD-100145,26-05-2019,John Smith,Technology,Storage,North,4105.17,-462.54
ORD-100147,28-05-2019,David Wilson,Technology,Binders,West,3022.19,-350.31
ORD-100152,02-06-2019,Michael Brown,Technology,Accessories,South,184.56,223.23
ORD-100154,04-06-2019,Sarah Johnson,Technology,Binders,North,1400.75,237.83
ORD-100158,08-06-2019,Linda Miller,Technology,Accessories,West,685.54,627.78
ORD-100161,11-06-2019,Emily Davis,Technology,Chairs,West,3679.72,-434.17
ORD-100164,14-06-2019,John Smith,Technology,Accessories,South,1016.51,1479.45
ORD-100169,19-06-2019,Sarah Johnson,Technology,Storage,North,2879.81,768.18
ORD-100170,20-06-2019,Sarah Johnson,Technology,Storage,South,3693.58,1248
ORD-100171,21-06-2019,Sarah Johnson,Technology,Chairs,North,2455.69,992.61
ORD-100175,25-06-2019,Emily Davis,Technology,Storage,East,3596.76,411.41
ORD-100181,01-07-2019,John Smith,Technology,Chairs,East,2026.11,57.45
ORD-100188,08-07-2019,Michael Brown,Technology,Phones,East,1028.32,939.57
ORD-100195,15-07-2019,Michael Brown,Technology,Chairs,West,1460.35,-114.96
ORD-100196,16-07-2019,Emily Davis,Technology,Accessories,South,1175.56,918.81
ORD-100197,17-07-2019,Sarah Johnson,Technology,Phones,West,3682.56,-377.19
